rmse,rmse_raw,bytes,bytes_A,bytes_B,bytes_C,enc_ops,time_s,A_reports,B_reports,C_reports,pickedA,route_ratio,var,resid_var,tau_percentile,A_budget_ratio,accountant_mode,epsilon_round,epsilon_cum_window,epsilon_limit,filter_triggered,shuffle_used,epsilon_effective,geo_r_protect,vdaf_http,vdaf_ok_ratio,reject_ratio,dap_mode,batch_key,collect_id,system_issues,method,suite_idx,epsilon,rho,mal_rate
3.043745679621928,3.4328848759496395,970,576,10,384,68,0.003881216049194336,18,10,6,6,0.7058823529204153,0.19423108423164878,5.234205650746153,95.0,0.5464800000000002,pld,2.0,42.09065295641709,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:40:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.975314667194253,2.731919974339601,876,416,12,448,64,0.001573801040649414,13,12,7,5,0.6249999999804688,0.1934975284294631,3.762524099347629,95.0,0.55,pld,2.0,44.09065295641709,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:45:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.956078594803768,3.205281471488741,835,704,3,128,54,0.0015058517456054688,22,3,2,6,0.8888888888559671,1.040741048473527,4.114431001555465,95.0,0.55,pld,2.0,46.09065295641709,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:50:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
4.040752642592454,4.016461911048782,721,576,17,128,74,0.0015361309051513672,18,17,2,6,0.5405405405259314,0.25404331702666916,8.892810680625253,95.0,0.55,pld,2.0,48.09065295641709,64.0,False,True,2.0,,False,,,offline,2025-01-01 01:55:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.0340546986926435,1.9571196298412936,563,416,19,128,68,0.0018079280853271484,13,19,2,6,0.44117647057525955,0.7881466108944821,1.979186203335036,95.0,0.55,pld,2.0,50.01702585138843,64.0,False,True,1.9263728949713417,,False,,,offline,2025-01-01 02:00:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.4169188270949,1.8779517121662443,391,320,7,64,36,0.0016639232635498047,10,7,1,6,0.6111111110771605,0.36356195777013467,2.525968507426934,95.0,0.55,pld,2.0,52.01702585138843,64.0,False,True,2.0,,False,,,offline,2025-01-01 02:05:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.548847376778755,2.7142109813438453,977,704,17,256,86,0.0017371177673339844,22,17,4,6,0.6046511627766361,2.501273549613846,3.381337463267536,95.0,0.55,pld,2.0,54.01702585138843,64.0,False,True,2.0,,False,,,offline,2025-01-01 02:10:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
2.5203873291709966,2.420217101917316,615,480,7,128,48,0.0015680789947509766,15,7,2,6,0.7083333333038194,0.6731273521346387,2.1713328333827215,95.0,0.55,pld,2.0,56.01702585138843,64.0,False,True,2.0,,False,,,offline,2025-01-01 02:15:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
3.274439945369171,3.124344452793118,297,288,9,0,36,0.0012879371643066406,9,9,0,2,0.4999999999722222,0.38647357311156155,5.163144713971687,90.0,0.54,pld,2.0,58.01702585138843,64.0,False,True,2.0,,False,,,offline,2025-01-01 02:20:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
4.208968883607845,4.612976641427824,428,288,12,128,46,0.0031518936157226562,9,12,2,4,0.47826086954442343,0.4886301458888852,13.211289251761327,95.0,0.5365440000000001,pld,2.0,60.01702585138843,64.0,False,True,2.0,,False,,,offline,2025-01-01 02:25:00+00:00,,"['BASE_BITS_A <= 11 makes quantization too coarse', 'A_budget_ratio pinned at <=0.25; scheduler cannot re-balance routes', 'C_BATCH_MAX >= 16 floods the C-route budget']",sa_htd_paper,6,2.0,0.15,0.0
