rmse,bytes,enc_ops,time_s,A_reports,B_reports,pickedA,route_ratio,Kp,var,resid_var,method,suite_idx,epsilon,rho,mal_rate
9.067872944029554,576,0,0.004495859146118164,9,0,22,1.0,22,22.629750072721993,30.565861920395903,eptd,5,1.0,0.25,0.3
8.985528595279959,512,0,0.0019767284393310547,8,0,22,1.0,22,28.508253959529352,36.38852166970792,eptd,5,1.0,0.25,0.3
8.880662177762964,640,0,0.0020759105682373047,10,0,23,1.0,23,16.572634609669826,25.858779418289426,eptd,5,1.0,0.25,0.3
9.205023992550213,576,0,0.004127979278564453,9,0,22,1.0,22,22.100871038484126,32.453185342948444,eptd,5,1.0,0.25,0.3
10.106417306936464,512,0,0.006351947784423828,8,0,23,1.0,23,43.15721870354361,55.28365487228816,eptd,5,1.0,0.25,0.3
10.383417538380543,640,0,0.008589982986450195,10,0,24,1.0,24,27.846256779359738,51.755676925218516,eptd,5,1.0,0.25,0.3
10.819021622352814,704,0,0.0025300979614257812,11,0,23,1.0,23,5.124473795516462,8.659517284214322,eptd,5,1.0,0.25,0.3
9.389221391778642,512,0,0.0030319690704345703,8,0,20,1.0,20,35.740091168412235,46.82257884004807,eptd,5,1.0,0.25,0.3
11.743424851189827,704,0,0.0020520687103271484,11,0,23,1.0,23,2.947662894480091,13.270342409461444,eptd,5,1.0,0.25,0.3
9.700412739563264,576,0,0.001865386962890625,9,0,23,1.0,23,34.18736508594339,42.723040309915135,eptd,5,1.0,0.25,0.3
11.836883465430919,256,0,0.0027132034301757812,4,0,19,1.0,19,6.062171492356111,13.308472640060966,eptd,5,1.0,0.25,0.3
10.694087995051131,512,0,0.00416111946105957,8,0,21,1.0,21,25.65407061541309,48.906510800408675,eptd,5,1.0,0.25,0.3
10.582182917630698,512,0,0.004453897476196289,8,0,22,1.0,22,39.06078515005331,52.58886904658332,eptd,5,1.0,0.25,0.3
11.68427048782039,512,0,0.0016870498657226562,8,0,21,1.0,21,25.931993843924953,71.56866551006479,eptd,5,1.0,0.25,0.3
11.639441387725846,448,0,0.006395816802978516,7,0,18,1.0,18,23.888796279379292,57.522732785366415,eptd,5,1.0,0.25,0.3
10.038364710933873,576,0,0.002035856246948242,9,0,20,1.0,20,29.24101949012484,36.30008455534058,eptd,5,1.0,0.25,0.3
12.59738442707898,320,0,0.006642818450927734,5,0,18,1.0,18,84.44559772966934,93.5276345177417,eptd,5,1.0,0.25,0.3
10.542232730517615,448,0,0.00540924072265625,7,0,20,1.0,20,57.091756191029695,68.1179441624348,eptd,5,1.0,0.25,0.3
9.371424575749625,320,0,0.0017058849334716797,5,0,14,1.0,14,24.752382147745447,24.385131167067037,eptd,5,1.0,0.25,0.3
11.811291352760568,384,0,0.0018317699432373047,6,0,18,1.0,18,33.25012506239653,58.29032046309921,eptd,5,1.0,0.25,0.3
11.945146690732322,384,0,0.002285003662109375,6,0,17,1.0,17,6.315097917476879,15.38538518651341,eptd,5,1.0,0.25,0.3
10.06900560947082,320,0,0.0025599002838134766,5,0,17,1.0,17,34.22599152823041,30.59587902001152,eptd,5,1.0,0.25,0.3
8.694770304969827,384,0,0.005012989044189453,6,0,12,1.0,12,30.39857716851958,26.775945897902066,eptd,5,1.0,0.25,0.3
9.554031621991653,512,0,0.00251007080078125,8,0,16,1.0,16,31.48979661529287,31.54958090413908,eptd,5,1.0,0.25,0.3
9.738617415710468,256,0,0.004170894622802734,4,0,11,1.0,11,21.941389911089143,31.472747249212,eptd,5,1.0,0.25,0.3
12.581621716995167,512,0,0.0024127960205078125,8,0,14,1.0,14,10.3806226126561,17.783825908947424,eptd,5,1.0,0.25,0.3
8.114070335048918,384,0,0.00504612922668457,6,0,11,1.0,11,56.26471014471088,20.241939687716922,eptd,5,1.0,0.25,0.3
10.183624751922721,256,0,0.0018460750579833984,4,0,9,1.0,9,60.4255212096644,79.1290436948234,eptd,5,1.0,0.25,0.3
