rmse,bytes,enc_ops,time_s,A_reports,B_reports,pickedA,route_ratio,Kp,var,resid_var,method,suite_idx,epsilon,rho,mal_rate
15.796006790013829,128,0,0.0017409324645996094,2,0,3,1.0,3,314.0811533273709,117.99022066070421,eptd,3,1.0,0.15,0.0
19.736056161096936,128,0,0.0020139217376708984,2,0,3,1.0,3,240.2495056955029,252.4700436955029,eptd,3,1.0,0.15,0.0
19.94992374258999,128,0,0.0021371841430664062,2,0,3,1.0,3,1.2168888534736672e-09,49.5559337789918,eptd,3,1.0,0.15,0.0
25.712712856535486,128,0,0.004257917404174805,2,0,3,1.0,3,16.4015649259052,125.8569522590057,eptd,3,1.0,0.15,0.0
12.408542321604571,128,0,0.0026290416717529297,2,0,3,1.0,3,0.049794625304074414,29.079552105585766,eptd,3,1.0,0.15,0.0
9.271194653880269,128,0,0.001886129379272461,2,0,3,1.0,3,57.38580217569117,50.23394206458007,eptd,3,1.0,0.15,0.0
4.679141072002327,128,0,0.0034220218658447266,2,0,3,1.0,3,14.84531372786106,11.16544672786106,eptd,3,1.0,0.15,0.0
4.229082524198978,128,0,0.002068042755126953,2,0,3,1.0,3,0.008769889078306255,2.4105722347773337,eptd,3,1.0,0.15,0.0
2.081842599586338,128,0,0.002512216567993164,2,0,3,1.0,3,0.24389744267933922,1.60899258467375,eptd,3,1.0,0.15,0.0
1.1547676529238549,128,0,0.002201080322265625,2,0,3,1.0,3,0.9081505851491852,0.8985853530055469,eptd,3,1.0,0.15,0.0
0.8156068664108206,128,0,0.0019528865814208984,2,0,3,1.0,3,1.045107574807088e-06,0.22174937025108155,eptd,3,1.0,0.15,0.0
6.5319725328599825,128,0,0.0024530887603759766,2,0,3,1.0,3,1.489677935522577e-14,14.222221904594852,eptd,3,1.0,0.15,0.0
15.935739887365449,128,0,0.0017559528350830078,2,0,3,1.0,3,3.721014583978284e-06,76.20710386883852,eptd,3,1.0,0.15,0.0
30.865313635397996,128,0,0.002077817916870117,2,0,3,1.0,3,471.52713948195156,553.5192297715201,eptd,3,1.0,0.15,0.0
41.862667497986266,128,0,0.002650022506713867,2,0,3,1.0,3,428.8083416063771,726.9412863221906,eptd,3,1.0,0.15,0.0
68.67894409443747,128,0,0.0021047592163085938,2,0,3,1.0,3,0.3372033004163937,923.5465339125791,eptd,3,1.0,0.15,0.0
52.68927123687401,128,0,0.002402067184448242,2,0,3,1.0,3,38.61359194961751,696.2515592849896,eptd,3,1.0,0.15,0.0
46.594953458114354,128,0,0.002485990524291992,2,0,3,1.0,3,0.0012175229306919091,625.9201755306162,eptd,3,1.0,0.15,0.0
44.292052547448804,128,0,0.0026848316192626953,2,0,3,1.0,3,512.9807678979444,851.6964838979442,eptd,3,1.0,0.15,0.0
