rmse,var,resid_var,bytes,enc_ops,time_s,var_lap,method,suite_idx,epsilon,rho,mal_rate
2.5953273361723106,0.9640808379184995,3.687244828621353,1536,0,0.002445220947265625,8.0,pure_ldp,0,0.5,0.15,0.0
3.224013677840679,3.269504390277724,9.490377496554323,1296,0,0.002361774444580078,8.0,pure_ldp,0,0.5,0.15,0.0
3.976759495608549,1.5188440956062748,12.276010528616291,1776,0,0.002997875213623047,8.0,pure_ldp,0,0.5,0.15,0.0
2.146836620226577,1.892928772621623,4.257730818818426,1104,0,0.002022266387939453,8.0,pure_ldp,0,0.5,0.15,0.0
2.288442009936901,2.100699612822923,5.091516661340706,864,0,0.003695964813232422,8.0,pure_ldp,0,0.5,0.15,0.0
2.858454302817716,4.985832844769891,7.862511642007887,1584,0,0.003535032272338867,8.0,pure_ldp,0,0.5,0.15,0.0
2.3818588914488585,3.416457872574565,5.666984056550595,1152,0,0.002869129180908203,8.0,pure_ldp,0,0.5,0.15,0.0
3.6169338534823408,0.31110711214840486,5.826310706630623,528,0,0.011718034744262695,8.0,pure_ldp,0,0.5,0.15,0.0
4.546172475205774,5.401171646866443,18.31935769812099,1104,0,0.002450227737426758,8.0,pure_ldp,0,0.5,0.15,0.0
3.3332063734364064,3.598275105004376,10.859116971879555,1104,0,0.0032219886779785156,8.0,pure_ldp,0,0.5,0.15,0.0
5.393355104038642,2.2453184878835195,24.584896253812833,1008,0,0.0017819404602050781,8.0,pure_ldp,0,0.5,0.15,0.0
5.090759707614663,0.20294476236676046,16.814842194152003,912,0,0.0026786327362060547,8.0,pure_ldp,0,0.5,0.15,0.0
3.0363332614829956,3.4414779144962564,8.545458760780367,1008,0,0.005645751953125,8.0,pure_ldp,0,0.5,0.15,0.0
6.189632473114137,26.955754051448427,34.71763972922953,624,0,0.002452850341796875,8.0,pure_ldp,0,0.5,0.15,0.0
4.702882067990762,13.601674042679496,21.533766087678348,672,0,0.0023491382598876953,8.0,pure_ldp,0,0.5,0.15,0.0
2.817273022510476,0.8979559160794895,5.935286036363226,432,0,0.0017881393432617188,8.0,pure_ldp,0,0.5,0.15,0.0
4.775113495481547,2.373434982909502,17.76866760867459,672,0,0.001722097396850586,8.0,pure_ldp,0,0.5,0.15,0.0
2.79778133398111,0.00034317163832073256,6.124720343179047,528,0,0.010130882263183594,8.0,pure_ldp,0,0.5,0.15,0.0
1.9626460224091116,3.6302462650004514,2.8776526074462208,624,0,0.001522064208984375,8.0,pure_ldp,0,0.5,0.15,0.0
2.621287525314779,1.8552574000089619,4.872370165761472,672,0,0.001750946044921875,8.0,pure_ldp,0,0.5,0.15,0.0
3.6221451214989533,3.459696956881507,7.133779086860614,960,0,0.001967906951904297,8.0,pure_ldp,0,0.5,0.15,0.0
2.6829070133071107,0.25937038588299727,4.09533666525201,432,0,0.0062408447265625,8.0,pure_ldp,0,0.5,0.15,0.0
1.7621511039255127,0.027653422098666818,2.9737985051007274,240,0,0.002424955368041992,8.0,pure_ldp,0,0.5,0.15,0.0
2.9360128537530956,8.929829219418538,7.5241399842268075,672,0,0.0025360584259033203,8.0,pure_ldp,0,0.5,0.15,0.0
5.364268834559338,12.520868293265732,25.363596326827487,288,0,0.0026388168334960938,8.0,pure_ldp,0,0.5,0.15,0.0
2.713331366289248,6.518340826914499,6.561977748036217,384,0,0.0012879371643066406,8.0,pure_ldp,0,0.5,0.15,0.0
5.988727135235931,2.486551380586331,9.875810810507444,384,0,0.006903886795043945,8.0,pure_ldp,0,0.5,0.15,0.0
2.8402112369357653,0.0,7.285219718874692,48,0,0.0009372234344482422,8.0,pure_ldp,0,0.5,0.15,0.0
3.9025060011451496,2.9503245965959186,7.566409637462879,384,0,0.007437705993652344,8.0,pure_ldp,0,0.5,0.15,0.0
3.4148866354977585,1.3049223216294612,7.482387315510102,624,0,0.0017290115356445312,8.0,pure_ldp,0,0.5,0.15,0.0
4.737824454902028,7.101049460495864,11.423670466749561,432,0,0.0020749568939208984,8.0,pure_ldp,0,0.5,0.15,0.0
3.082427717312274,0.43452919800067297,6.7438978121276625,144,0,0.0026960372924804688,8.0,pure_ldp,0,0.5,0.15,0.0
2.908875489374527,0.4766425738488529,5.754644542338089,240,0,0.001983165740966797,8.0,pure_ldp,0,0.5,0.15,0.0
